dt	VRAMGB	m	n	k	tile_m	tile_n	tile_k	ms
f32	3.88	512	715	272	305	20	219	1.664
f32	3.88	512	715	272	177	14	202	0.784
bf16	4.40	116	814	1055	116	2	1055	0.849
bf16	4.40	116	814	1055	5	8	319	0.641
bf16	5.06	172	413	1401	172	2	1401	0.972
bf16	5.06	172	413	1401	151	8	887	0.568
bf16	7.52	103	547	1768	103	2	1768	1.054
bf16	7.52	103	547	1768	99	2	1665	0.398
f64	6.72	3135	538	59	2486	8	59	2.972
f64	6.72	3135	538	59	1049	178	37	41.673
f32	2.83	853	355	329	355	20	187	2.275
f32	2.83	853	355	329	99	12	297	1.087
f16	8.57	637	386	405	127	38	209	3.029
f16	8.57	637	386	405	458	16	247	1.033
bf16	4.39	719	134	1030	601	2	1030	1.158
bf16	4.39	719	134	1030	244	6	781	1.057
f16	2.39	995	155	646	115	22	268	3.715
f16	2.39	995	155	646	623	6	459	0.918
f16	3.03	631	534	296	106	34	182	2.362
f16	3.03	631	534	296	209	486	12	265.330
f16	1.65	373	899	297	223	20	275	1.482
f16	1.65	373	899	297	121	24	121	1.241
f16	4.94	80	1447	860	80	6	695	1.118
f16	4.94	80	1447	860	24	6	551	0.485
bf16	1.23	225	1050	421	225	18	421	1.223
bf16	1.23	225	1050	421	32	22	225	0.796
f64	7.20	996	539	185	445	24	185	2.252
f64	7.20	996	539	185	660	24	142	2.595
bf16	8.43	486	479	429	486	2	429	1.089
bf16	8.43	486	479	429	151	18	187	1.346
f16	7.87	724	260	530	114	50	160	6.666
f16	7.87	724	260	530	79	12	462	0.975
f32	5.25	40	935	2638	40	4	1013	1.626
f32	5.25	40	935	2638	20	10	295	0.913
f64	5.51	414	407	591	369	12	591	1.915
f64	5.51	414	407	591	34	6	269	1.291
bf16	8.35	343	484	600	343	2	600	0.896
bf16	8.35	343	484	600	226	34	198	2.718
f32	6.43	775	1181	109	378	8	109	1.053
f32	6.43	775	1181	109	260	34	70	1.911
f16	2.63	850	300	390	89	24	223	2.321
f16	2.63	850	300	390	119	6	353	0.723
f32	7.26	887	154	728	388	10	301	2.450
f32	7.26	887	154	728	871	36	218	6.168
f16	7.32	292	779	438	196	32	241	1.808
f16	7.32	292	779	438	121	66	121	3.478
f32	5.87	488	188	1083	392	10	373	2.265
f32	5.87	488	188	1083	451	50	153	9.621
bf16	3.60	739	615	219	400	8	219	1.104
bf16	3.60	739	615	219	457	44	92	3.677
f64	4.24	88	1133	991	88	18	446	2.268
f64	4.24	88	1133	991	20	10	779	1.327
f64	5.45	879	245	463	185	16	463	2.574
f64	5.45	879	245	463	516	14	236	2.318
f64	1.71	419	589	404	419	16	404	2.093
f64	1.71	419	589	404	52	36	44	8.166
